player_name,college,rank,height,weight,bats/throws,hometown,drafted,debuted,travel_team,notes,class_year
Lastings Milledge,None,2,6-0,180,R/R,"Palmetto, FL",Rd 1 by Mets (2003),Mets (2006),None,NULL,2003
Delmon Young,Arizona,3,6-3,195,R/R,"Camarillo, CA",Rd 1 by Rays (2003),Rays (2006),None,NULL,2003
Jeff Allison,Arizona,4,6-2,195,R/R,"Peabody, MA",Rd 1 by Marlins (2003),None,Team America,NULL,2003
Andrew Miller,North Carolina,5,6-6,185,L/L,"Gainesville, FL",Rd 1 by Tigers (2006),Tigers (2006),None,NULL,2003
Chris Lubanski,Florida State,6,6-3,180,L/L,"Schwenksville, PA",Rd 1 by Royals (2003),None,None,NULL,2003
Jared Hughes,Santa Clara,7,6-6,220,R/R,"Laguna Niguel, CA",Rd 4 by Pirates (2006),Pirates (2011),None,NULL,2003
Ryan Sweeney,San Diego State,8,6-4,205,L/L,"Cedar Rapids, IA",Rd 2 by White Sox (2003),White Sox (2006),None,NULL,2003
Craig Whitaker,Texas A&M,9,6-4,180,R/R,"Lufkin, TX",None,None,None,NULL,2003
John Danks,Texas,10,6-2,175,L/L,"Round Rock, TX",Rd 1 by Rangers (2003),White Sox (2007),None,NULL,2003
Jimmy Barthmaier,None,11,6-4,210,R/R,"Roswell, GA",Rd 13 by Astros (2003),None,None,NULL,2003
Jay Sborz,Arizona State,12,6-4,220,R/R,"Great Falls, VA",None,Tigers (2010),None,NULL,2003
Adam Jones,San Diego State,13,6-1,180,S/R,"Spring Valley, CA",Rd 1 Comp by Mariners (2003),Mariners (2006),None,NULL,2003
Timothy Battle,None,14,6-1,185,R/R,"Peachtree City, GA",Rd 3 by Yankees (2003),None,HS Team,NULL,2003
Matt Moses,Clemson,15,6-0,210,L/R,"Richmond, VA",Rd 1 by Twins (2003),None,None,NULL,2003
Chad Billingsley,South Carolina,16,6-2,200,S/R,"Defiance, OH",Rd 1 by Dodgers (2003),Dodgers (2006),None,NULL,2003
Sean Rodriguez,Florida International,17,6-0,175,R/R,"Miami, FL",Rd 3 by Angels (2003),Angels (2008),None,NULL,2003
Ian Stewart,Southern California,18,6-3,195,L/R,"Garden Grove, CA",Rd 1 by Rockies (2003),Rockies (2007),None,NULL,2003
Jarrod Saltalamacchia,Florida State,19,6-4,190,S/R,"West Palm Beach, FL",Rd 1 by Braves (2003),Braves (2007),None,NULL,2003
Scott Maine,Miami,20,6-3,170,L/L,"Palm Beach Gardens, FL",Rd 6 by Diamondbacks (2007),Cubs (2010),None,NULL,2003
Adam Miller,None,21,None,None,R/R,"McKinney, TX",Rd 1 by Indians (2003),None,None,NULL,2003
Jeff Manship,Notre Dame,22,6-0,170,R/R,"San Antonio, TX",Rd 14 by Twins (2006),None,None,NULL,2003
Anthony Whittington,Oklahoma State,23,6-5,220,R/L,"Buffalo, WV",Rd 2 by Angels (2003),None,None,NULL,2003
James Houser,Florida,24,6-4,180,L/L,"Sarasota, FL",Rd 2 by Rays (2003),Marlins (2010),None,NULL,2003
Jonathan Fulton,Virginia Tech,25,6-4,210,R/R,"Danville, VA",Rd 3 by Marlins (2003),None,Legion,NULL,2003
C.J. Bressoud,Alabama,26,6-1,185,R/R,"Kennesaw, GA",Rd 26 by Braves (2003),None,None,NULL,2003
Colin Curtis,Arizona State,27,6-0,195,L/L,"Sammamish, WA",Rd 4 by Yankees (2006),Yankees (2010),None,NULL,2003
Dallas Buck,None,28,6-2,190,R/R,"Newberg, OR",Rd 3 by Diamondbacks (2006),None,None,NULL,2003
Daniel Bard,North Carolina,29,6-4,185,R/R,"Charlotte, NC",Rd 1 by Red Sox (2006),Red Sox (2009),None,NULL,2003
Aaron Jensen,None,30,6-2,185,None,"Springville, UT",Rd 19 by Mariners (2003),None,None,NULL,2003
Stuart Pomeranz,None,31,6-7,218,R/R,"Collierville, TN",Rd 2 by Cardinals (2003),None,None,NULL,2003
Drew Stubbs,Texas,32,6-3,185,R/R,"Atlanta, TX",Rd 1 by Reds (2006),None,None,NULL,2003
Brandon Wood,None,33,6-2,180,R/R,"Scottsdale, AZ",None,None,None,NULL,2003
Charles Benoit,Oklahoma,34,6-2,224,L/L,"Southlake, TX",Rd 10 by Pirates (2006),None,Dallas Mustangs,NULL,2003
"Jon ""Cliff"" Davis",None,35,6-5,205,R/R,"Eupora, MS",None,None,None,NULL,2003
Adam Hale,Rice,36,6-3,196,L/R,"Houston, TX",Rd 32 by Astros (2006),None,None,NULL,2003
Chuck Tiffany,Cal State Fullerton,37,6-1,190,L/L,"Covina, CA",Rd 2 by Dodgers (2003),None,None,NULL,2003
Xavier Paul,Tulane,38,5-11,195,S/R,"Slidell, LA",Rd 4 by Dodgers (2003),Dodgers (2009),None,NULL,2003
Michael Rogers,Texas,39,6-0,170,L/L,"Del City, OK",Rd 16 by Twins (2003),None,None,NULL,2003
sean Henry,None,40,5-10,154,R/R,"Fairfield, CA",None,None,None,NULL,2003
Jacob Stevens,Miami,41,6-3,204,L/L,"Cape Coral, FL",Rd 3 by Braves (2003),None,None,NULL,2003
Robert Valido,Florida International,42,6-1,175,R/R,"Miami, FL",Rd 4 by White Sox (2003),None,None,NULL,2003
Miguel Vega,None,43,6-3,207,R/R,"Arroyo, PR",Rd 4 by Royals (2003),None,None,NULL,2003
Eric Duncan,Louisiana State,44,6-2,200,L/R,"Florham Park, NJ",Rd 1 by Yankees (2003),None,None,NULL,2003
Justin Brashear,Mississippi,45,6-3,200,L/R,"Lake Charles, LA",Rd 25 by Angels (2003),None,None,NULL,2003
Philip Stringer,None,46,5-9,170,R/R,"Spring, TX",Rd 24 by Astros (2007),None,Houston RBI,NULL,2003
Derik Olvey,Notre Dame,47,6-4,210,R/R,"Hueytown, AL",Rd 13 by Dodgers (2003),None,Bama Bombers,NULL,2003
Doug Frame,Texas A&M,48,6-1,210,L/L,"Tomball, TX",Rd 22 by Dodgers (2003),None,Heat,NULL,2003
Eric O'Flaherty,None,49,None,None,None,"Walla Walla, WA",None,None,None,NULL,2003
Brennan Boesch,California,50,6-4,195,L/L,"Los Angeles, CA",Rd 3 by Tigers (2006),Tigers (2010),None,NULL,2003
"David ""Homer"" Bailey",None,1,6-4,185,R/R,"LaGrange, TX",Rd 1 by Reds (2004),Reds (2007),Houston Heat,NULL,2004
Christopher Nelson,Georgia,2,5-11,175,R/R,"Decatur, GA",Rd 1 by Rockies (2004),Rockies (2009),None,NULL,2004
Matt Bush,San Diego State,3,6-0,170,R/R,"San Diego, CA",Rd 1 by Padres (2004),Rangers (2016),None,NULL,2004
Scott Elbert,Missouri,4,6-2,195,L/L,"Seneca, MO",None,Dodgers (2009),None,NULL,2004
Giovanny Gonzalez,Miami,5,6-0,185,L/L,"Hialeah, FL",Rd 1 Comp by White Sox (2004),Athletics (2008),Miami Thunderstorms,NULL,2004
Phillip Hughes,Santa Clara,6,6-4,215,R/R,"Santa Ana, CA",Rd 1 by Yankees (2004),Yankees (2007),None,NULL,2004
Jay Rainville,Tennessee,7,6-3,220,R/R,"Pawtucket, RI",Rd 1 by Twins (2004),None,None,NULL,2004
Gregory Golson,Texas,8,6-1,190,R/R,"Austin, TX",Rd 1 by Phillies (2004),Phillies (2008),Austin Slam,NULL,2004
Eric Hurley,Florida,9,6-4,192,R/R,"Jacksonville, FL",Rd 1 by Rangers (2004),Rangers (2008),None,NULL,2004
Mark Rogers,Miami,10,6-2,200,R/R,"Orr's Island, ME",Rd 1 by Brewers (2004),Brewers (2010),None,NULL,2004
Neil Walker,Clemson,11,6-2,205,S/R,"Gibsonia, PA",Rd 1 by Pirates (2004),Pirates (2009),None,NULL,2004
Dexter Fowler,Miami,12,6-5,188,R/R,"Alpharetta, GA",Rd 14 by Rockies (2004),Rockies (2008),None,NULL,2004
Chuck Lofgren,Santa Clara,13,6-3,190,L/L,"Burlingame, CA",Rd 4 by Indians (2004),None,None,NULL,2004
Yovani Gallardo,TCU,14,6-2,180,R/R,"Ft. Worth, TX",Rd 2 by Brewers (2004),Brewers (2007),None,NULL,2004
Trevor Plouffe,Southern California,15,6-1,170,R/R,"Northridge, CA",Rd 1 by Twins (2004),Twins (2010),None,NULL,2004
Troy Patton,Texas,16,6-1,170,L/L,"Magnolia, TX",Rd 9 by Astros (2004),Astros (2007),None,NULL,2004
Brad Bergesen,San Diego,17,6-2,215,L/R,"Pleasanton, CA",Rd 4 by Orioles (2004),Orioles (2009),NorCal,NULL,2004
Matt Walker,Southeastern Louisiana,18,6-3,190,R/R,"Grennwell Springs, LA",Rd 10 by Rays (2004),None,HS team,NULL,2004
Michael Taylor,Stanford,19,6-5,235,R/R,"Apopka, FL",Rd 5 by Phillies (2007),None,None,NULL,2004
Matt Wieters,Georgia Tech,20,6-4,200,S/R,"Goose Creek, SC",Rd 1 by Orioles (2007),Orioles (2009),South Carolina Diamond Devils,NULL,2004
Erik Davis,Stanford,21,6-3,180,R/R,"Mountain View, CA",Rd 13 by Padres (2008),Nationals (2013),West Bay Titans,NULL,2004
Stephen Chapman,Auburn,22,5-11,185,L/L,"Marianna, FL",Rd 6 by Brewers (2004),None,TM FL USA,NULL,2004
Michael Schlact,South Carolina,23,6-7,205,R/R,"Marietta, GA",Rd 3 by Rangers (2004),None,None,NULL,2004
Mark Trumbo,Southern California,24,6-5,220,R/R,"Orange, CA",Rd 18 by Angels (2004),None,Yankee Scout Team,NULL,2004
Christian Garcia,South Carolina,25,6-4,190,S/R,"Miami, FL",Rd 3 by Yankees (2004),Nationals (2012),CABA-hs team,NULL,2004
Erik Cordier,North Carolina State,26,6-3,195,R/R,"Sturgeon Bay, WI",Rd 2 by Royals (2004),Giants (2014),OH Warhawks,NULL,2004
Michael Rozier,North Carolina,27,6-5,210,L/L,"Stockbridge, GA",Rd 12 by Red Sox (2004),None,Ohio Warhawks,NULL,2004
Josh Copeland,Alabama,28,6-3,200,R/R,"Palmetto, GA",Rd 47 by Angels (2008),None,Ohio Warhawks,NULL,2004
Eric Ridener,New Mexico,29,6-4,220,R/R,"Coral Springs, FL",Rd 8 by Pirates (2004),None,Central FL Renegades,NULL,2004
Javier Guerra,Arizona,30,6-2,185,R/R,"Denton, TX",Rd 4 by Dodgers (2004),Dodgers (2011),None,NULL,2004
Warren McFadden,Tulane,31,6-1,190,R/R,"Plantation, FL",Rd 28 by Tigers (2007),None,None,NULL,2004
Andrew Gale,North Carolina,32,6-6,230,R/R,"Durham, NH",Rd 43 by Nationals (2004),None,Midland Redskins,NULL,2004
Sean Morgan,Tulane,33,6-3,218,R/R,"Sugarland, TX",Rd 4 by Diamondbacks (2007),None,None,NULL,2004
Billy Butler,Florida,34,6-2,232,R/R,"Jacksonville, FL",Rd 1 by Royals (2004),Royals (2007),None,NULL,2004
Sam Demel,TCU,35,6-0,185,R/R,"Spring, TX",Rd 3 by Athletics (2007),Diamondbacks (2010),None,NULL,2004
Alex Garabedian,College of Charleston,36,6-2,215,R/R,"Miami, FL",Rd 7 by Yankees (2004),None,"HS team, Team One",NULL,2004
Preston Clark,Texas,37,5-10,178,R/R,"Rockwall, TX",Rd 33 by Cubs (2007),None,Dallas Tigers,NULL,2004
Seth Garrison,Arizona State,38,6-4,200,S/R,"Coppell, TX",Rd 23 by Red Sox (2008),None,Dallas Tigers,NULL,2004
Joshua Johnson,Texas,39,5-11,170,S/R,"Tampa, FL",None,None,HS Team,NULL,2004
Kenn Kasparek,Texas,40,6-9,197,R/R,"Weimar, TX",Rd 12 by Mariners (2008),None,None,NULL,2004
Steve Marquardt,Washington,41,6-2,195,R/R,"Kennewick, WA",Rd 37 by Phillies (2004),None,Baseball Northwest,NULL,2004
Tate Casey,None,42,6-6,220,R/R,"Longview, TX",Rd 19 by Twins (2004),None,None,NULL,2004
Joseph Bauserman,Ohio State,43,6-2,220,R/R,"Tallahassee, FL",Rd 4 by Pirates (2004),None,None,NULL,2004
David Kopp,Clemson,44,6-3,190,R/R,"Coral Springs, FL",Rd 2 by Cardinals (2007),None,Pokers,NULL,2004
Gaby Hernandez,Florida International,45,6-4,220,R/R,"Miami, FL",Rd 3 by Mets (2004),None,None,NULL,2004
Raudel Alfonso,Miami,46,6-3,205,L/R,"Hialeah, FL",Rd 50 by Red Sox (2004),None,FL Bombers,NULL,2004
Matt Tuiasosopo,Washington,47,6-2,200,R/R,"Woodinville, WA",Rd 3 by Mariners (2004),None,None,NULL,2004
Anthony Swarzak,Louisiana State,48,6-3,190,R/R,"Ft. Lauderdale, FL",Rd 2 by Twins (2004),Twins (2010),None,NULL,2004
Jacob McGee,UNLV,49,6-2,190,L/L,"Sparks, NV",Rd 5 by Rays (2004),Rays (2010),Reno Aces,NULL,2004
David Price,Vanderbilt,51,6-4,195,L/L,"Murfreesboro, TN",Rd 1 by Rays (2007),Rays (2008),None,NULL,2004
Justin Upton,North Carolina State,1,6-2,187,R/R,"Chesapeake, VA",Rd 1 by Diamondbacks (2005),Diamondbacks (2007),AAU,NULL,2005
Cameron Maybin,Southern,2,6-3,195,S/R,"Arden, NC",Rd 1 by Tigers (2005),Tigers (2007),Midland Redskins,NULL,2005
Zach Putnam,Michigan,3,6-2,210,R/R,"Ann Arbor, MI",Rd 5 by Indians (2008),Indians (2011),Ann Arbor Braves,NULL,2005
Justin Bristow,Auburn,4,6-4,205,R/R,"Richmond, VA",Rd 5 by Cubs (2008),None,None,NULL,2005
Sean O'Sullivan,San Diego State,5,6-2,195,R/R,"El Cajon, CA",Rd 3 by Angels (2005),Angels (2009),None,NULL,2005
Andrew McCutchen,Florida,6,5-11,170,R/R,"Fort Meade, FL",Rd 1 by Pirates (2005),Pirates (2009),Team Florida USA,NULL,2005
Jordan Danks,Texas,7,6-5,200,L/R,"Round Rock, TX",Rd 7 by White Sox (2008),White Sox (2012),Austin BB Club,NULL,2005
Chris Volstad,Miami,8,6-7,195,R/R,"Palm Beach Gardens, FL",Rd 1 by Marlins (2005),Marlins (2008),Yellowjackets,NULL,2005
Craig Italiano,TCU,9,6-3,195,R/R,"Flower Mound, TX",None,None,Dallas Mustangs,NULL,2005
Trevor Bell,None,10,6-2,180,L/R,"La Crescenta, CA",Rd 1 Comp by Angels (2005),Angels (2009),None,NULL,2005
Ryan Tucker,Cal State Fullerton,11,6-2,190,R/R,"Temple City, CA",Rd 1 by Marlins (2005),Marlins (2008),None,NULL,2005
John Drennen,UCLA,12,6-0,180,L/L,"San Diego, CA",Rd 1 Comp by Indians (2005),None,OC Dawgs/Encinatas Reds,NULL,2005
Josh Wall,Louisiana State,13,6-6,190,R/R,"Walker, LA",Rd 2 by Dodgers (2005),Dodgers (2012),LA All Star BB,NULL,2005
Colby Rasmus,Auburn,14,6-2,183,L/L,"Phenix City, AL",Rd 1 by Cardinals (2005),Cardinals (2009),OH Warhawks,NULL,2005
Mark Pawelek,Arizona State,15,6-2,180,L/L,"Springville, UT",Rd 1 by Cubs (2005),None,Utah Stars,NULL,2005
Kyle Hancock,Arkansas,16,6-3,185,R/R,"Rowlett, TX",Rd 3 by Rockies (2005),None,Dallas Tigers 17U,NULL,2005
Jeremy Hellickson,Louisiana State,17,6-1,185,R/R,"Des Moines, IA",Rd 4 by Rays (2005),Rays (2010),HS team/FL Bombers,NULL,2005
David Adams,Virginia,18,6-1,185,R/R,"Margate, FL",Rd 3 by Yankees (2008),Yankees (2013),S.F. Bandits,NULL,2005
Bradley Clark,None,19,6-6,200,R/R,"Tampa, FL",Rd 19 by Nationals (2005),None,Midland Redskins,NULL,2005
Ike Davis,Arizona State,20,6-5,205,L/L,"Scottsdale, AZ",Rd 1 by Mets (2008),Mets (2010),None,NULL,2005
Matthew Olson,East Carolina,21,6-4,185,R/R,"Chesapeake, VA",Rd 13 by Phillies (2005),None,None,NULL,2005
Jeff Lyman,Arizona State,22,6-3,215,R/R,"Alamo, CA",Rd 2 by Braves (2005),None,NorCal,NULL,2005
Chris Dominguez,Louisville,23,6-5,220,R/R,"Miami, FL",Rd 3 by Giants (2009),Giants (2014),Team Florida USA,NULL,2005
Tony Delmonico,Florida State,23,5-11,185,S/R,"Knoxville, TN",Rd 6 by Dodgers (2008),None,Knoxville Thunder 17,NULL,2005
Austin Jackson,Georgia Tech,24,6-2,180,R/R,"Denton, TX",Rd 8 by Yankees (2005),Tigers (2010),Dallas Panthers,NULL,2005
Miers Quigley,Alabama,25,6-3,190,L/L,"Roswell, GA",Rd 19 by Cardinals (2005),None,None,NULL,2005
Bryan Morris,None,26,6-3,185,R/R,"Tullahoma, TN",None,None,None,NULL,2005
Henry Sanchez,San Diego State,27,6-3,260,R/R,"San Diego, CA",Rd 1 by Twins (2005),None,Bucs,NULL,2005
Cody Satterwhite,Mississippi,28,6-3,185,R/R,"Byram, MS",Rd 2 by Tigers (2008),None,None,NULL,2005
Eric Massingham,Cal Poly,29,6-2,205,R/R,"Benicia, CA",Rd 25 by Phillies (2009),None,NorCal,NULL,2005
Josh Zeid,Tulane,30,6-4,214,R/R,"New Haven, CT",Rd 10 by Phillies (2009),Astros (2013),LI Titans,NULL,2005
Buster Posey,Florida State,32,6-1,180,R/R,"Leesburg, GA",Rd 1 by Giants (2008),Giants (2009),HS team,NULL,2005
Beau Jones,Louisiana State,33,6-0,180,L/L,"Destrehan, LA",Rd 1 Comp by Braves (2005),None,None,NULL,2005
Mike Bowden,Arizona State,34,6-3,210,R/R,"Aurora, IL",Rd 1 Comp by Red Sox (2005),Red Sox (2008),None,NULL,2005
Brandon Snyder,Louisiana State,35,6-2,190,R/R,"Centreville, VA",Rd 1 by Orioles (2005),Orioles (2010),None,NULL,2005
Preston Paramore,Arizona State,36,6-3,210,S/R,"Allen, TX",Rd 3 by Athletics (2008),None,Dallas Tigers,NULL,2005
Joshua Bell,Florida Atlantic,37,6-3,205,S/R,"Lantana, FL",Rd 4 by Dodgers (2005),Orioles (2010),"Bombers, Santa Fe Reds",NULL,2005
Brian Kirwan,UCLA,38,6-4,195,R/R,"Del Mar, CA",Rd 11 by Twins (2005),None,None,NULL,2005
Aaron Thompson,Texas A&M,39,6-2,190,L/L,"Houston, TX",Rd 1 by Marlins (2005),Pirates (2011),Houston Kyle Chapman,NULL,2005
Ivan DeJesus,None,40,6-0,178,S/R,"Guaynabo, PR",None,Dodgers (2012),Indiana Yankees,NULL,2005
Brett Jacobson,Vanderbilt,41,6-6,194,R/R,"Carefree, AZ",Rd 4 by Tigers (2008),None,None,NULL,2005
Ryan DeLaughter,None,42,6-3,215,R/R,"Corinth, TX",Rd 5 by Nationals (2005),None,Dallas Panthers,NULL,2005
Thomas Mendoza,Miami,43,6-3,195,L/R,"Hialeah, FL",None,None,Florida Bombers,NULL,2005
Brandon Erbe,Miami,44,6-4,195,R/R,"Baltimore, MD",Rd 3 by Orioles (2005),None,None,NULL,2005
Dennis Raben,Miami,45,6-3,185,L/L,"Hollywood, FL",Rd 2 by Mariners (2008),None,None,NULL,2005
Matthew Hall,Arizona State,46,6-2,180,R/R,"Scottsdale, AZ",Rd 8 by Angels (2005),None,HS team,NULL,2005
Jonathan Egan,Georgia,47,6-4,210,R/R,"Hephzibah, GA",Rd 2 by Red Sox (2005),None,East Cobb Braves,NULL,2005
Nick Romero,San Diego State,48,6-0,180,S/R,"Chula Vista, CA",Rd 5 by Twins (2008),None,San Diego Show,NULL,2005
Chaz Roe,Kentucky,49,6-5,170,R/R,"Lexington, KY",Rd 1 by Rockies (2005),None,None,NULL,2005
Jarred Bogany,Louisiana State,50,6-3,199,R/R,"Houston, TX",Rd 15 by Pirates (2005),None,Kyle Chapman,NULL,2005
Kyle Drabek,None,1,6-0,175,R/R,"The Woodlands, TX",Rd 1 by Phillies (2006),Blue Jays (2010),Houston Heat,NULL,2006
Brett Anderson,Oklahoma State,2,6-4,210,L/L,"Stillwater, OK",Rd 2 by Diamondbacks (2006),Athletics (2009),Midland Redskins,NULL,2006
Clayton Kershaw,Texas A&M,3,6-3,210,L/L,"Dallas, TX",Rd 1 by Dodgers (2006),Dodgers (2008),DBAT,NULL,2006
Hank Conger,Southern California,4,6-1,205,S/R,"Huntington Beach, CA",Rd 1 by Angels (2006),Angels (2010),Trombly Baseball,NULL,2006
Chris Marrero,Miami,5,6-3,200,R/R,"Hialeah Garden, FL",Rd 1 by Nationals (2006),Nationals (2011),Team Florida/All American Prospect,NULL,2006
Jordan Walden,Texas,6,6-4,185,R/R,"Mansfield, TX",Rd 12 by Angels (2006),Angels (2010),None,NULL,2006
Chris Parmelee,Cal State Fullerton,7,6-1,195,L/L,"Chino Hills, CA",Rd 1 by Twins (2006),Twins (2011),ABD Bulldogs,NULL,2006
Cody Johnson,Florida State,8,6-4,195,L/R,"Panama City, FL",Rd 1 by Braves (2006),None,East Cobb Astros,NULL,2006
Chris Tillman,Cal State Fullerton,9,6-5,185,R/R,"Fountain Valley, CA",Rd 2 by Mariners (2006),Orioles (2009),None,NULL,2006
Jason Place,South Carolina,10,6-3,205,R/R,"Easley, SC",Rd 1 by Red Sox (2006),None,FL Bombers,NULL,2006
Matthew Latos,Louisiana-Lafayette,11,6-6,200,R/R,"Margate, FL",Rd 11 by Padres (2006),Padres (2009),HS team,NULL,2006
Kasey Kiker,South Alabama,12,5-11,185,L/L,"Phenix City, AL",Rd 1 by Rangers (2006),None,OH Warhawks,NULL,2006
Travis Snider,Arizona State,13,6-2,220,L/L,"Everett, WA",Rd 1 by Blue Jays (2006),None,None,NULL,2006
Dellin Betances,None,14,6-9,215,R/R,"New York, NY",Rd 8 by Yankees (2006),Yankees (2011),Youth Service League,NULL,2006
Jeremy Jeffress,Longwood,15,6-1,180,R/R,"South Boston, VA",Rd 1 by Brewers (2006),Brewers (2010),Dixie Pre-majors,NULL,2006
